Format of output
key:  value  ->  retrievedValue , collisions number Collisions
9044 : 18088 -> 18088, collisions 0
9044 : 18088 -> 18088, collisions 0
9044 : 18088 -> 18088, collisions 0

2652 : 5304 -> 5304, collisions 0
2652 : 5304 -> 5304, collisions 0
2652 : 5304 -> 5304, collisions 0

259 : 518 -> 518, collisions 0
259 : 518 -> 518, collisions 0
259 : 518 -> 518, collisions 0

5602 : 11204 -> 11204, collisions 0
5602 : 11204 -> 11204, collisions 0
5602 : 11204 -> 11204, collisions 0

984 : 1968 -> 1968, collisions 0
984 : 1968 -> 1968, collisions 0
984 : 1968 -> 1968, collisions 0

4818 : 9636 -> 9636, collisions 0
4818 : 9636 -> 9636, collisions 0
4818 : 9636 -> 9636, collisions 0

5826 : 11652 -> 11652, collisions 2
5826 : 11652 -> 11652, collisions 0
5826 : 11652 -> 11652, collisions 6

3168 : 6336 -> 6336, collisions 2
3168 : 6336 -> 6336, collisions 2
3168 : 6336 -> 6336, collisions 4

1970 : 3940 -> 3940, collisions 0
1970 : 3940 -> 3940, collisions 0
1970 : 3940 -> 3940, collisions 0

3467 : 6934 -> 6934, collisions 0
3467 : 6934 -> 6934, collisions 0
3467 : 6934 -> 6934, collisions 0

3840 : 7680 -> 7680, collisions 10
3840 : 7680 -> 7680, collisions 4
3840 : 7680 -> 7680, collisions 8

4558 : 9116 -> 9116, collisions 0
4558 : 9116 -> 9116, collisions 0
4558 : 9116 -> 9116, collisions 0

3919 : 7838 -> 7838, collisions 0
3919 : 7838 -> 7838, collisions 0
3919 : 7838 -> 7838, collisions 0

526 : 1052 -> 1052, collisions 0
526 : 1052 -> 1052, collisions 0
526 : 1052 -> 1052, collisions 0

1363 : 2726 -> 2726, collisions 0
1363 : 2726 -> 2726, collisions 0
1363 : 2726 -> 2726, collisions 0

6150 : 12300 -> 12300, collisions 2
6150 : 12300 -> 12300, collisions 2
6150 : 12300 -> 12300, collisions 4

7030 : 14060 -> 14060, collisions 0
7030 : 14060 -> 14060, collisions 0
7030 : 14060 -> 14060, collisions 0

9886 : 19772 -> 19772, collisions 0
9886 : 19772 -> 19772, collisions 0
9886 : 19772 -> 19772, collisions 0

4924 : 9848 -> 9848, collisions 0
4924 : 9848 -> 9848, collisions 4
4924 : 9848 -> 9848, collisions 0

8145 : 16290 -> 16290, collisions 0
8145 : 16290 -> 16290, collisions 0
8145 : 16290 -> 16290, collisions 0

2407 : 4814 -> 4814, collisions 0
2407 : 4814 -> 4814, collisions 0
2407 : 4814 -> 4814, collisions 0

8557 : 17114 -> 17114, collisions 0
8557 : 17114 -> 17114, collisions 0
8557 : 17114 -> 17114, collisions 0

849 : 1698 -> 1698, collisions 0
849 : 1698 -> 1698, collisions 0
849 : 1698 -> 1698, collisions 0

5816 : 11632 -> 11632, collisions 0
5816 : 11632 -> 11632, collisions 2
5816 : 11632 -> 11632, collisions 0

9263 : 18526 -> 18526, collisions 14
9263 : 18526 -> 18526, collisions 4
9263 : 18526 -> 18526, collisions 4

2901 : 5802 -> 5802, collisions 0
2901 : 5802 -> 5802, collisions 0
2901 : 5802 -> 5802, collisions 0

6053 : 12106 -> 12106, collisions 0
6053 : 12106 -> 12106, collisions 2
6053 : 12106 -> 12106, collisions 6

6020 : 12040 -> 12040, collisions 0
6020 : 12040 -> 12040, collisions 0
6020 : 12040 -> 12040, collisions 0

5946 : 11892 -> 11892, collisions 6
5946 : 11892 -> 11892, collisions 4
5946 : 11892 -> 11892, collisions 4

4419 : 8838 -> 8838, collisions 0
4419 : 8838 -> 8838, collisions 0
4419 : 8838 -> 8838, collisions 0

7941 : 15882 -> 15882, collisions 8
7941 : 15882 -> 15882, collisions 2
7941 : 15882 -> 15882, collisions 8

8587 : 17174 -> 17174, collisions 2
8587 : 17174 -> 17174, collisions 2
8587 : 17174 -> 17174, collisions 8

2325 : 4650 -> 4650, collisions 0
2325 : 4650 -> 4650, collisions 0
2325 : 4650 -> 4650, collisions 0

6891 : 13782 -> 13782, collisions 24
6891 : 13782 -> 13782, collisions 0
6891 : 13782 -> 13782, collisions 4

6856 : 13712 -> 13712, collisions 2
6856 : 13712 -> 13712, collisions 0
6856 : 13712 -> 13712, collisions 0

3437 : 6874 -> 6874, collisions 2
3437 : 6874 -> 6874, collisions 2
3437 : 6874 -> 6874, collisions 4

3520 : 7040 -> 7040, collisions 24
3520 : 7040 -> 7040, collisions 2
3520 : 7040 -> 7040, collisions 0

1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0

537 : 1074 -> 1074, collisions 2
537 : 1074 -> 1074, collisions 2
537 : 1074 -> 1074, collisions 4

5279 : 10558 -> 10558, collisions 0
5279 : 10558 -> 10558, collisions 0
5279 : 10558 -> 10558, collisions 0

2618 : 5236 -> 5236, collisions 8
2618 : 5236 -> 5236, collisions 18
2618 : 5236 -> 5236, collisions 6

4671 : 9342 -> 9342, collisions 0
4671 : 9342 -> 9342, collisions 0
4671 : 9342 -> 9342, collisions 0

2883 : 5766 -> 5766, collisions 2
2883 : 5766 -> 5766, collisions 2
2883 : 5766 -> 5766, collisions 6

990 : 1980 -> 1980, collisions 4
990 : 1980 -> 1980, collisions 0
990 : 1980 -> 1980, collisions 4

880 : 1760 -> 1760, collisions 0
880 : 1760 -> 1760, collisions 0
880 : 1760 -> 1760, collisions 0

9353 : 18706 -> 18706, collisions 0
9353 : 18706 -> 18706, collisions 0
9353 : 18706 -> 18706, collisions 0

9081 : 18162 -> 18162, collisions 2
9081 : 18162 -> 18162, collisions 2
9081 : 18162 -> 18162, collisions 6

6210 : 12420 -> 12420, collisions 0
6210 : 12420 -> 12420, collisions 6
6210 : 12420 -> 12420, collisions 0

8387 : 16774 -> 16774, collisions 24
8387 : 16774 -> 16774, collisions 4
8387 : 16774 -> 16774, collisions 0

5926 : 11852 -> 11852, collisions 0
5926 : 11852 -> 11852, collisions 0
5926 : 11852 -> 11852, collisions 0

2728 : 5456 -> 5456, collisions 0
2728 : 5456 -> 5456, collisions 0
2728 : 5456 -> 5456, collisions 0

242 : 484 -> 484, collisions 12
242 : 484 -> 484, collisions 4
242 : 484 -> 484, collisions 4

6432 : 12864 -> 12864, collisions 8
6432 : 12864 -> 12864, collisions 4
6432 : 12864 -> 12864, collisions 6

9946 : 19892 -> 19892, collisions 0
9946 : 19892 -> 19892, collisions 0
9946 : 19892 -> 19892, collisions 6

8238 : 16476 -> 16476, collisions 38
8238 : 16476 -> 16476, collisions 8
8238 : 16476 -> 16476, collisions 0

2407 : 4814 -> 4814, collisions 0
2407 : 4814 -> 4814, collisions 0
2407 : 4814 -> 4814, collisions 0

3676 : 7352 -> 7352, collisions 2
3676 : 7352 -> 7352, collisions 2
3676 : 7352 -> 7352, collisions 10

9579 : 19158 -> 19158, collisions 0
9579 : 19158 -> 19158, collisions 0
9579 : 19158 -> 19158, collisions 6

5352 : 10704 -> 10704, collisions 0
5352 : 10704 -> 10704, collisions 0
5352 : 10704 -> 10704, collisions 0

3578 : 7156 -> 7156, collisions 24
3578 : 7156 -> 7156, collisions 12
3578 : 7156 -> 7156, collisions 6

8534 : 17068 -> 17068, collisions 0
8534 : 17068 -> 17068, collisions 0
8534 : 17068 -> 17068, collisions 0

489 : 978 -> 978, collisions 0
489 : 978 -> 978, collisions 10
489 : 978 -> 978, collisions 0

4062 : 8124 -> 8124, collisions 18
4062 : 8124 -> 8124, collisions 2
4062 : 8124 -> 8124, collisions 14

618 : 1236 -> 1236, collisions 0
618 : 1236 -> 1236, collisions 0
618 : 1236 -> 1236, collisions 0

5638 : 11276 -> 11276, collisions 22
5638 : 11276 -> 11276, collisions 4
5638 : 11276 -> 11276, collisions 6

8294 : 16588 -> 16588, collisions 0
8294 : 16588 -> 16588, collisions 0
8294 : 16588 -> 16588, collisions 0

9398 : 18796 -> 18796, collisions 0
9398 : 18796 -> 18796, collisions 4
9398 : 18796 -> 18796, collisions 0

192 : 384 -> 384, collisions 38
192 : 384 -> 384, collisions 10
192 : 384 -> 384, collisions 6

5798 : 11596 -> 11596, collisions 6
5798 : 11596 -> 11596, collisions 6
5798 : 11596 -> 11596, collisions 6

9743 : 19486 -> 19486, collisions 14
9743 : 19486 -> 19486, collisions 0
9743 : 19486 -> 19486, collisions 4

9260 : 18520 -> 18520, collisions 56
9260 : 18520 -> 18520, collisions 32
9260 : 18520 -> 18520, collisions 16

1555 : 3110 -> 3110, collisions 8
1555 : 3110 -> 3110, collisions 18
1555 : 3110 -> 3110, collisions 4

7430 : 14860 -> 14860, collisions 36
7430 : 14860 -> 14860, collisions 6
7430 : 14860 -> 14860, collisions 10

3924 : 7848 -> 7848, collisions 6
3924 : 7848 -> 7848, collisions 12
3924 : 7848 -> 7848, collisions 4

2714 : 5428 -> 5428, collisions 0
2714 : 5428 -> 5428, collisions 0
2714 : 5428 -> 5428, collisions 0

1647 : 3294 -> 3294, collisions 4
1647 : 3294 -> 3294, collisions 2
1647 : 3294 -> 3294, collisions 6

7553 : 15106 -> 15106, collisions 0
7553 : 15106 -> 15106, collisions 0
7553 : 15106 -> 15106, collisions 6

6323 : 12646 -> 12646, collisions 0
6323 : 12646 -> 12646, collisions 0
6323 : 12646 -> 12646, collisions 0

945 : 1890 -> 1890, collisions 0
945 : 1890 -> 1890, collisions 0
945 : 1890 -> 1890, collisions 0

1292 : 2584 -> 2584, collisions 32
1292 : 2584 -> 2584, collisions 4
1292 : 2584 -> 2584, collisions 8

5965 : 11930 -> 11930, collisions 0
5965 : 11930 -> 11930, collisions 0
5965 : 11930 -> 11930, collisions 6

6875 : 13750 -> 13750, collisions 2
6875 : 13750 -> 13750, collisions 4
6875 : 13750 -> 13750, collisions 0

9482 : 18964 -> 18964, collisions 40
9482 : 18964 -> 18964, collisions 10
9482 : 18964 -> 18964, collisions 0

4718 : 9436 -> 9436, collisions 8
4718 : 9436 -> 9436, collisions 4
4718 : 9436 -> 9436, collisions 4

1572 : 3144 -> 3144, collisions 74
1572 : 3144 -> 3144, collisions 0
1572 : 3144 -> 3144, collisions 0

1921 : 3842 -> 3842, collisions 2
1921 : 3842 -> 3842, collisions 2
1921 : 3842 -> 3842, collisions 16

7772 : 15544 -> 15544, collisions 4
7772 : 15544 -> 15544, collisions 4
7772 : 15544 -> 15544, collisions 12

5533 : 11066 -> 11066, collisions 0
5533 : 11066 -> 11066, collisions 0
5533 : 11066 -> 11066, collisions 0

212 : 424 -> 424, collisions 108
212 : 424 -> 424, collisions 4
212 : 424 -> 424, collisions 6

245 : 490 -> 490, collisions 44
245 : 490 -> 490, collisions 6
245 : 490 -> 490, collisions 0

434 : 868 -> 868, collisions 6
434 : 868 -> 868, collisions 4
434 : 868 -> 868, collisions 6

6258 : 12516 -> 12516, collisions 2
6258 : 12516 -> 12516, collisions 0
6258 : 12516 -> 12516, collisions 0

3077 : 6154 -> 6154, collisions 146
3077 : 6154 -> 6154, collisions 6
3077 : 6154 -> 6154, collisions 14

4650 : 9300 -> 9300, collisions 76
4650 : 9300 -> 9300, collisions 14
4650 : 9300 -> 9300, collisions 10

9800 : 19600 -> 19600, collisions 20
9800 : 19600 -> 19600, collisions 0
9800 : 19600 -> 19600, collisions 0

6203 : 12406 -> 12406, collisions 58
6203 : 12406 -> 12406, collisions 18
6203 : 12406 -> 12406, collisions 16

4579 : 9158 -> 9158, collisions 106
4579 : 9158 -> 9158, collisions 14
4579 : 9158 -> 9158, collisions 12

5324 : 10648 -> 10648, collisions 156
5324 : 10648 -> 10648, collisions 0
5324 : 10648 -> 10648, collisions 6

4720 : 9440 -> 9440, collisions 8
4720 : 9440 -> 9440, collisions 6
4720 : 9440 -> 9440, collisions 6

5578 : 11156 -> 11156, collisions 168
5578 : 11156 -> 11156, collisions 2
5578 : 11156 -> 11156, collisions 4

2016 : 4032 -> 4032, collisions 130
2016 : 4032 -> 4032, collisions 14
2016 : 4032 -> 4032, collisions 0

735 : 1470 -> 1470, collisions 134
735 : 1470 -> 1470, collisions 34
735 : 1470 -> 1470, collisions 16

1532 : 3064 -> 3064, collisions 78
1532 : 3064 -> 3064, collisions 0
1532 : 3064 -> 3064, collisions 30

1926 : 3852 -> 3852, collisions 2
1926 : 3852 -> 3852, collisions 8
1926 : 3852 -> 3852, collisions 8

7014 : 14028 -> 14028, collisions 4
7014 : 14028 -> 14028, collisions 2
7014 : 14028 -> 14028, collisions 22

3712 : 7424 -> 7424, collisions 0
3712 : 7424 -> 7424, collisions 2
3712 : 7424 -> 7424, collisions 16

5122 : 10244 -> 10244, collisions 198
5122 : 10244 -> 10244, collisions 8
5122 : 10244 -> 10244, collisions 4

6069 : 12138 -> 12138, collisions 4
6069 : 12138 -> 12138, collisions 10
6069 : 12138 -> 12138, collisions 8

6127 : 12254 -> 12254, collisions 114
6127 : 12254 -> 12254, collisions 22
6127 : 12254 -> 12254, collisions 14

3937 : 7874 -> 7874, collisions 22
3937 : 7874 -> 7874, collisions 36
3937 : 7874 -> 7874, collisions 10

1473 : 2946 -> 2946, collisions 230
1473 : 2946 -> 2946, collisions 6
1473 : 2946 -> 2946, collisions 16

7645 : 15290 -> 15290, collisions 180
7645 : 15290 -> 15290, collisions 10
7645 : 15290 -> 15290, collisions 0

931 : 1862 -> 1862, collisions 0
931 : 1862 -> 1862, collisions 2
931 : 1862 -> 1862, collisions 6

7972 : 15944 -> 15944, collisions 174
7972 : 15944 -> 15944, collisions 56
7972 : 15944 -> 15944, collisions 10

4834 : 9668 -> 9668, collisions 178
4834 : 9668 -> 9668, collisions 10
4834 : 9668 -> 9668, collisions 44

9976 : 19952 -> 19952, collisions 136
9976 : 19952 -> 19952, collisions 4
9976 : 19952 -> 19952, collisions 0

2254 : 4508 -> 4508, collisions 222
2254 : 4508 -> 4508, collisions 18
2254 : 4508 -> 4508, collisions 6

9675 : 19350 -> 19350, collisions 230
9675 : 19350 -> 19350, collisions 4
9675 : 19350 -> 19350, collisions 46

2249 : 4498 -> 4498, collisions 242
2249 : 4498 -> 4498, collisions 18
2249 : 4498 -> 4498, collisions 18

8325 : 16650 -> 16650, collisions 6
8325 : 16650 -> 16650, collisions 10
8325 : 16650 -> 16650, collisions 22

9936 : 19872 -> 19872, collisions 242
9936 : 19872 -> 19872, collisions 18
9936 : 19872 -> 19872, collisions 10

7904 : 15808 -> 15808, collisions 216
7904 : 15808 -> 15808, collisions 18
7904 : 15808 -> 15808, collisions 6

9893 : 19786 -> 19786, collisions 10
9893 : 19786 -> 19786, collisions 4
9893 : 19786 -> 19786, collisions 36

1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0

7015 : 14030 -> 14030, collisions 86
7015 : 14030 -> 14030, collisions 8
7015 : 14030 -> 14030, collisions 4

2568 : 5136 -> 5136, collisions 278
2568 : 5136 -> 5136, collisions 6
2568 : 5136 -> 5136, collisions 24

935 : 1870 -> 1870, collisions 12
935 : 1870 -> 1870, collisions 54
935 : 1870 -> 1870, collisions 0

7419 : 14838 -> 14838, collisions 178
7419 : 14838 -> 14838, collisions 12
7419 : 14838 -> 14838, collisions 12

9626 : 19252 -> 19252, collisions 2
9626 : 19252 -> 19252, collisions 4
9626 : 19252 -> 19252, collisions 10

1293 : 2586 -> 2586, collisions 276
1293 : 2586 -> 2586, collisions 8
1293 : 2586 -> 2586, collisions 40

495 : 990 -> 990, collisions 208
495 : 990 -> 990, collisions 66
495 : 990 -> 990, collisions 38

Linear Probing 5320 Collisions
Quadratic Probing 804 Collisions
Double hashing Probing 836 Collisions

*** Random Order End ***

*** Accending Order Start ***

Format of output
key:  value  ->  retrievedValue , collisions number Collisions
Linear total number Collisions
Quadratic total number Collisions
Double hashing total number Collisions

*** Random Order Start *** 


192 : 384 -> 384, collisions 38
192 : 384 -> 384, collisions 10
192 : 384 -> 384, collisions 6

212 : 424 -> 424, collisions 108
212 : 424 -> 424, collisions 4
212 : 424 -> 424, collisions 6

242 : 484 -> 484, collisions 12
242 : 484 -> 484, collisions 4
242 : 484 -> 484, collisions 4

245 : 490 -> 490, collisions 44
245 : 490 -> 490, collisions 6
245 : 490 -> 490, collisions 0

259 : 518 -> 518, collisions 0
259 : 518 -> 518, collisions 0
259 : 518 -> 518, collisions 0

304 : 608 -> 608, collisions 0
304 : 608 -> 608, collisions 0
304 : 608 -> 608, collisions 0

314 : 628 -> 628, collisions 0
314 : 628 -> 628, collisions 0
314 : 628 -> 628, collisions 0

434 : 868 -> 868, collisions 6
434 : 868 -> 868, collisions 4
434 : 868 -> 868, collisions 6

489 : 978 -> 978, collisions 0
489 : 978 -> 978, collisions 10
489 : 978 -> 978, collisions 0

495 : 990 -> 990, collisions 208
495 : 990 -> 990, collisions 66
495 : 990 -> 990, collisions 38

526 : 1052 -> 1052, collisions 0
526 : 1052 -> 1052, collisions 0
526 : 1052 -> 1052, collisions 0

537 : 1074 -> 1074, collisions 2
537 : 1074 -> 1074, collisions 2
537 : 1074 -> 1074, collisions 4

618 : 1236 -> 1236, collisions 0
618 : 1236 -> 1236, collisions 0
618 : 1236 -> 1236, collisions 0

735 : 1470 -> 1470, collisions 134
735 : 1470 -> 1470, collisions 34
735 : 1470 -> 1470, collisions 16

754 : 1508 -> 1508, collisions 0
754 : 1508 -> 1508, collisions 0
754 : 1508 -> 1508, collisions 0

762 : 1524 -> 1524, collisions 0
762 : 1524 -> 1524, collisions 0
762 : 1524 -> 1524, collisions 0

774 : 1548 -> 1548, collisions 0
774 : 1548 -> 1548, collisions 0
774 : 1548 -> 1548, collisions 0

812 : 1624 -> 1624, collisions 2
812 : 1624 -> 1624, collisions 4
812 : 1624 -> 1624, collisions 4

849 : 1698 -> 1698, collisions 0
849 : 1698 -> 1698, collisions 0
849 : 1698 -> 1698, collisions 0

880 : 1760 -> 1760, collisions 0
880 : 1760 -> 1760, collisions 0
880 : 1760 -> 1760, collisions 0

931 : 1862 -> 1862, collisions 0
931 : 1862 -> 1862, collisions 2
931 : 1862 -> 1862, collisions 6

935 : 1870 -> 1870, collisions 12
935 : 1870 -> 1870, collisions 54
935 : 1870 -> 1870, collisions 0

945 : 1890 -> 1890, collisions 0
945 : 1890 -> 1890, collisions 0
945 : 1890 -> 1890, collisions 0

984 : 1968 -> 1968, collisions 0
984 : 1968 -> 1968, collisions 0
984 : 1968 -> 1968, collisions 0

990 : 1980 -> 1980, collisions 4
990 : 1980 -> 1980, collisions 0
990 : 1980 -> 1980, collisions 4

1270 : 2540 -> 2540, collisions 0
1270 : 2540 -> 2540, collisions 0
1270 : 2540 -> 2540, collisions 0

1292 : 2584 -> 2584, collisions 32
1292 : 2584 -> 2584, collisions 4
1292 : 2584 -> 2584, collisions 8

1293 : 2586 -> 2586, collisions 276
1293 : 2586 -> 2586, collisions 8
1293 : 2586 -> 2586, collisions 40

1363 : 2726 -> 2726, collisions 0
1363 : 2726 -> 2726, collisions 0
1363 : 2726 -> 2726, collisions 0

1473 : 2946 -> 2946, collisions 230
1473 : 2946 -> 2946, collisions 6
1473 : 2946 -> 2946, collisions 16

1532 : 3064 -> 3064, collisions 78
1532 : 3064 -> 3064, collisions 0
1532 : 3064 -> 3064, collisions 30

1544 : 3088 -> 3088, collisions 0
1544 : 3088 -> 3088, collisions 0
1544 : 3088 -> 3088, collisions 0

1555 : 3110 -> 3110, collisions 8
1555 : 3110 -> 3110, collisions 18
1555 : 3110 -> 3110, collisions 4

1572 : 3144 -> 3144, collisions 74
1572 : 3144 -> 3144, collisions 0
1572 : 3144 -> 3144, collisions 0

1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0

1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0

1647 : 3294 -> 3294, collisions 4
1647 : 3294 -> 3294, collisions 2
1647 : 3294 -> 3294, collisions 6

1826 : 3652 -> 3652, collisions 0
1826 : 3652 -> 3652, collisions 0
1826 : 3652 -> 3652, collisions 0

1921 : 3842 -> 3842, collisions 2
1921 : 3842 -> 3842, collisions 2
1921 : 3842 -> 3842, collisions 16

1926 : 3852 -> 3852, collisions 2
1926 : 3852 -> 3852, collisions 8
1926 : 3852 -> 3852, collisions 8

1970 : 3940 -> 3940, collisions 0
1970 : 3940 -> 3940, collisions 0
1970 : 3940 -> 3940, collisions 0

2016 : 4032 -> 4032, collisions 130
2016 : 4032 -> 4032, collisions 14
2016 : 4032 -> 4032, collisions 0

2169 : 4338 -> 4338, collisions 0
2169 : 4338 -> 4338, collisions 0
2169 : 4338 -> 4338, collisions 0

2214 : 4428 -> 4428, collisions 2
2214 : 4428 -> 4428, collisions 2
2214 : 4428 -> 4428, collisions 4

2249 : 4498 -> 4498, collisions 242
2249 : 4498 -> 4498, collisions 18
2249 : 4498 -> 4498, collisions 18

2254 : 4508 -> 4508, collisions 222
2254 : 4508 -> 4508, collisions 18
2254 : 4508 -> 4508, collisions 6

2325 : 4650 -> 4650, collisions 0
2325 : 4650 -> 4650, collisions 0
2325 : 4650 -> 4650, collisions 0

2348 : 4696 -> 4696, collisions 4
2348 : 4696 -> 4696, collisions 6
2348 : 4696 -> 4696, collisions 6

2407 : 4814 -> 4814, collisions 0
2407 : 4814 -> 4814, collisions 0
2407 : 4814 -> 4814, collisions 0

2407 : 4814 -> 4814, collisions 0
2407 : 4814 -> 4814, collisions 0
