Format of output
key:  value  ->  retrievedValue , collisions number Collisions
Linear total number Collisions
Quadratic total number Collisions
Double hashing total number Collisions

*** Random Order Start *** 


3072 : 6144 -> 6144, collisions 2
3072 : 6144 -> 6144, collisions 10

9635 : 19270 -> 19270, collisions 0
9635 : 19270 -> 19270, collisions 0
9635 : 19270 -> 19270, collisions 0

669 : 1338 -> 1338, collisions 0
669 : 1338 -> 1338, collisions 0
669 : 1338 -> 1338, collisions 6

1735 : 3470 -> 3470, collisions 0
1735 : 3470 -> 3470, collisions 0
1735 : 3470 -> 3470, collisions 0

1733 : 3466 -> 3466, collisions 0
1733 : 3466 -> 3466, collisions 0
1733 : 3466 -> 3466, collisions 0

3838 : 7676 -> 7676, collisions 4
3838 : 7676 -> 7676, collisions 2
3838 : 7676 -> 7676, collisions 4

9813 : 19626 -> 19626, collisions 2
9813 : 19626 -> 19626, collisions 2
9813 : 19626 -> 19626, collisions 4

8232 : 16464 -> 16464, collisions 0
8232 : 16464 -> 16464, collisions 0
8232 : 16464 -> 16464, collisions 0

7176 : 14352 -> 14352, collisions 2
7176 : 14352 -> 14352, collisions 0
7176 : 14352 -> 14352, collisions 8

4361 : 8722 -> 8722, collisions 2
4361 : 8722 -> 8722, collisions 0
4361 : 8722 -> 8722, collisions 0

1159 : 2318 -> 2318, collisions 2
1159 : 2318 -> 2318, collisions 2
1159 : 2318 -> 2318, collisions 4

4065 : 8130 -> 8130, collisions 0
4065 : 8130 -> 8130, collisions 0
4065 : 8130 -> 8130, collisions 0

9336 : 18672 -> 18672, collisions 0
9336 : 18672 -> 18672, collisions 0
9336 : 18672 -> 18672, collisions 0

504 : 1008 -> 1008, collisions 0
504 : 1008 -> 1008, collisions 0
504 : 1008 -> 1008, collisions 0

3946 : 7892 -> 7892, collisions 0
3946 : 7892 -> 7892, collisions 0
3946 : 7892 -> 7892, collisions 0

3691 : 7382 -> 7382, collisions 0
3691 : 7382 -> 7382, collisions 0
3691 : 7382 -> 7382, collisions 0

8862 : 17724 -> 17724, collisions 0
8862 : 17724 -> 17724, collisions 0
8862 : 17724 -> 17724, collisions 0

502 : 1004 -> 1004, collisions 10
502 : 1004 -> 1004, collisions 0
502 : 1004 -> 1004, collisions 4

146 : 292 -> 292, collisions 0
146 : 292 -> 292, collisions 0
146 : 292 -> 292, collisions 0

8965 : 17930 -> 17930, collisions 0
8965 : 17930 -> 17930, collisions 0
8965 : 17930 -> 17930, collisions 0

1763 : 3526 -> 3526, collisions 0
1763 : 3526 -> 3526, collisions 0
1763 : 3526 -> 3526, collisions 4

1313 : 2626 -> 2626, collisions 4
1313 : 2626 -> 2626, collisions 4
1313 : 2626 -> 2626, collisions 0

2452 : 4904 -> 4904, collisions 0
2452 : 4904 -> 4904, collisions 0
2452 : 4904 -> 4904, collisions 0

907 : 1814 -> 1814, collisions 4
907 : 1814 -> 1814, collisions 2
907 : 1814 -> 1814, collisions 6

1109 : 2218 -> 2218, collisions 6
1109 : 2218 -> 2218, collisions 4
1109 : 2218 -> 2218, collisions 6

60 : 120 -> 120, collisions 2
60 : 120 -> 120, collisions 2
60 : 120 -> 120, collisions 0

2888 : 5776 -> 5776, collisions 0
2888 : 5776 -> 5776, collisions 8
2888 : 5776 -> 5776, collisions 0

3297 : 6594 -> 6594, collisions 8
3297 : 6594 -> 6594, collisions 2
3297 : 6594 -> 6594, collisions 4

