Format of output
key:  value  ->  retrievedValue , collisions number Collisions
Linear total number Collisions
Quadratic total number Collisions
Double hashing total number Collisions

*** Random Order Start *** 


1593 : 3186 -> 3186, collisions 0
1593 : 3186 -> 3186, collisions 0
1593 : 3186 -> 3186, collisions 0

2801 : 5602 -> 5602, collisions 0
2801 : 5602 -> 5602, collisions 0
2801 : 5602 -> 5602, collisions 0

404 : 808 -> 808, collisions 0
404 : 808 -> 808, collisions 0
404 : 808 -> 808, collisions 0

7047 : 14094 -> 14094, collisions 0
7047 : 14094 -> 14094, collisions 0
7047 : 14094 -> 14094, collisions 0

850 : 1700 -> 1700, collisions 0
850 : 1700 -> 1700, collisions 0
850 : 1700 -> 1700, collisions 0

8552 : 17104 -> 17104, collisions 0
8552 : 17104 -> 17104, collisions 0
8552 : 17104 -> 17104, collisions 0

1973 : 3946 -> 3946, collisions 0
1973 : 3946 -> 3946, collisions 0
1973 : 3946 -> 3946, collisions 0

6204 : 12408 -> 12408, collisions 0
6204 : 12408 -> 12408, collisions 2
6204 : 12408 -> 12408, collisions 0

2701 : 5402 -> 5402, collisions 0
2701 : 5402 -> 5402, collisions 0
2701 : 5402 -> 5402, collisions 0

1951 : 3902 -> 3902, collisions 0
1951 : 3902 -> 3902, collisions 0
1951 : 3902 -> 3902, collisions 0

2600 : 5200 -> 5200, collisions 0
2600 : 5200 -> 5200, collisions 0
2600 : 5200 -> 5200, collisions 0

2870 : 5740 -> 5740, collisions 0
2870 : 5740 -> 5740, collisions 0
2870 : 5740 -> 5740, collisions 0

9783 : 19566 -> 19566, collisions 0
9783 : 19566 -> 19566, collisions 0
9783 : 19566 -> 19566, collisions 0

5662 : 11324 -> 11324, collisions 0
5662 : 11324 -> 11324, collisions 0
5662 : 11324 -> 11324, collisions 0

9362 : 18724 -> 18724, collisions 0
9362 : 18724 -> 18724, collisions 0
9362 : 18724 -> 18724, collisions 0

540 : 1080 -> 1080, collisions 0
540 : 1080 -> 1080, collisions 0
540 : 1080 -> 1080, collisions 0

5288 : 10576 -> 10576, collisions 0
5288 : 10576 -> 10576, collisions 0
5288 : 10576 -> 10576, collisions 0

3660 : 7320 -> 7320, collisions 0
3660 : 7320 -> 7320, collisions 0
3660 : 7320 -> 7320, collisions 0

7265 : 14530 -> 14530, collisions 0
7265 : 14530 -> 14530, collisions 0
7265 : 14530 -> 14530, collisions 0

5482 : 10964 -> 10964, collisions 0
5482 : 10964 -> 10964, collisions 0
5482 : 10964 -> 10964, collisions 0

8337 : 16674 -> 16674, collisions 0
8337 : 16674 -> 16674, collisions 0
8337 : 16674 -> 16674, collisions 0

5626 : 11252 -> 11252, collisions 0
5626 : 11252 -> 11252, collisions 0
5626 : 11252 -> 11252, collisions 0

4681 : 9362 -> 9362, collisions 0
4681 : 9362 -> 9362, collisions 0
4681 : 9362 -> 9362, collisions 0

7569 : 15138 -> 15138, collisions 4
7569 : 15138 -> 15138, collisions 2
7569 : 15138 -> 15138, collisions 4

7296 : 14592 -> 14592, collisions 0
7296 : 14592 -> 14592, collisions 0
7296 : 14592 -> 14592, collisions 0

242 : 484 -> 484, collisions 0
242 : 484 -> 484, collisions 0
242 : 484 -> 484, collisions 0

8373 : 16746 -> 16746, collisions 2
8373 : 16746 -> 16746, collisions 2
8373 : 16746 -> 16746, collisions 2

9975 : 19950 -> 19950, collisions 0
9975 : 19950 -> 19950, collisions 0
9975 : 19950 -> 19950, collisions 0

1621 : 3242 -> 3242, collisions 0
1621 : 3242 -> 3242, collisions 0
1621 : 3242 -> 3242, collisions 0

2434 : 4868 -> 4868, collisions 0
2434 : 4868 -> 4868, collisions 0
2434 : 4868 -> 4868, collisions 0

9144 : 18288 -> 18288, collisions 0
9144 : 18288 -> 18288, collisions 0
9144 : 18288 -> 18288, collisions 0

722 : 1444 -> 1444, collisions 0
722 : 1444 -> 1444, collisions 0
722 : 1444 -> 1444, collisions 0

2785 : 5570 -> 5570, collisions 0
2785 : 5570 -> 5570, collisions 0
2785 : 5570 -> 5570, collisions 0

1945 : 3890 -> 3890, collisions 0
1945 : 3890 -> 3890, collisions 0
1945 : 3890 -> 3890, collisions 0

8324 : 16648 -> 16648, collisions 0
8324 : 16648 -> 16648, collisions 0
8324 : 16648 -> 16648, collisions 0

4654 : 9308 -> 9308, collisions 0
4654 : 9308 -> 9308, collisions 0
4654 : 9308 -> 9308, collisions 0

5442 : 10884 -> 10884, collisions 0
5442 : 10884 -> 10884, collisions 2
5442 : 10884 -> 10884, collisions 0

9857 : 19714 -> 19714, collisions 0
9857 : 19714 -> 19714, collisions 0
9857 : 19714 -> 19714, collisions 0

7745 : 15490 -> 15490, collisions 0
7745 : 15490 -> 15490, collisions 2
7745 : 15490 -> 15490, collisions 0

4906 : 9812 -> 9812, collisions 0
4906 : 9812 -> 9812, collisions 0
4906 : 9812 -> 9812, collisions 0

1043 : 2086 -> 2086, collisions 2
1043 : 2086 -> 2086, collisions 0
1043 : 2086 -> 2086, collisions 4

2914 : 5828 -> 5828, collisions 0
2914 : 5828 -> 5828, collisions 0
2914 : 5828 -> 5828, collisions 0

6724 : 13448 -> 13448, collisions 0
6724 : 13448 -> 13448, collisions 0
6724 : 13448 -> 13448, collisions 0

828 : 1656 -> 1656, collisions 2
828 : 1656 -> 1656, collisions 10
828 : 1656 -> 1656, collisions 4

9513 : 19026 -> 19026, collisions 0
9513 : 19026 -> 19026, collisions 0
9513 : 19026 -> 19026, collisions 0

5456 : 10912 -> 10912, collisions 0
5456 : 10912 -> 10912, collisions 0
5456 : 10912 -> 10912, collisions 0

5072 : 10144 -> 10144, collisions 0
5072 : 10144 -> 10144, collisions 0
5072 : 10144 -> 10144, collisions 0

5051 : 10102 -> 10102, collisions 0
5051 : 10102 -> 10102, collisions 0
5051 : 10102 -> 10102, collisions 0

5345 : 10690 -> 10690, collisions 2
5345 : 10690 -> 10690, collisions 2
5345 : 10690 -> 10690, collisions 4

