Format of output
key:  value  ->  retrievedValue , collisions number Collisions
Linear total number Collisions
Quadratic total number Collisions
Double hashing total number Collisions

*** Random Order Start *** 


1768 : 3536 -> 3536, collisions 0
1768 : 3536 -> 3536, collisions 0
1768 : 3536 -> 3536, collisions 0

3834 : 7668 -> 7668, collisions 0
3834 : 7668 -> 7668, collisions 0
3834 : 7668 -> 7668, collisions 0

8729 : 17458 -> 17458, collisions 0
8729 : 17458 -> 17458, collisions 0
8729 : 17458 -> 17458, collisions 0

7465 : 14930 -> 14930, collisions 2
7465 : 14930 -> 14930, collisions 0
7465 : 14930 -> 14930, collisions 2

3878 : 7756 -> 7756, collisions 0
3878 : 7756 -> 7756, collisions 0
3878 : 7756 -> 7756, collisions 0

2013 : 4026 -> 4026, collisions 0
2013 : 4026 -> 4026, collisions 0
2013 : 4026 -> 4026, collisions 0

8701 : 17402 -> 17402, collisions 0
8701 : 17402 -> 17402, collisions 0
8701 : 17402 -> 17402, collisions 0

2648 : 5296 -> 5296, collisions 0
2648 : 5296 -> 5296, collisions 0
2648 : 5296 -> 5296, collisions 0

9885 : 19770 -> 19770, collisions 0
9885 : 19770 -> 19770, collisions 0
9885 : 19770 -> 19770, collisions 0

7010 : 14020 -> 14020, collisions 0
7010 : 14020 -> 14020, collisions 0
7010 : 14020 -> 14020, collisions 0

8385 : 16770 -> 16770, collisions 0
8385 : 16770 -> 16770, collisions 0
8385 : 16770 -> 16770, collisions 0

531 : 1062 -> 1062, collisions 0
531 : 1062 -> 1062, collisions 0
531 : 1062 -> 1062, collisions 0

3769 : 7538 -> 7538, collisions 0
3769 : 7538 -> 7538, collisions 0
3769 : 7538 -> 7538, collisions 0

3127 : 6254 -> 6254, collisions 0
3127 : 6254 -> 6254, collisions 0
3127 : 6254 -> 6254, collisions 0

8079 : 16158 -> 16158, collisions 0
8079 : 16158 -> 16158, collisions 0
8079 : 16158 -> 16158, collisions 0

6971 : 13942 -> 13942, collisions 2
6971 : 13942 -> 13942, collisions 0
6971 : 13942 -> 13942, collisions 4

2055 : 4110 -> 4110, collisions 0
2055 : 4110 -> 4110, collisions 0
2055 : 4110 -> 4110, collisions 0

6762 : 13524 -> 13524, collisions 0
6762 : 13524 -> 13524, collisions 0
6762 : 13524 -> 13524, collisions 0

4005 : 8010 -> 8010, collisions 0
4005 : 8010 -> 8010, collisions 0
4005 : 8010 -> 8010, collisions 0

2145 : 4290 -> 4290, collisions 0
2145 : 4290 -> 4290, collisions 0
2145 : 4290 -> 4290, collisions 0

8701 : 17402 -> 17402, collisions 0
8701 : 17402 -> 17402, collisions 0
8701 : 17402 -> 17402, collisions 0

3875 : 7750 -> 7750, collisions 0
3875 : 7750 -> 7750, collisions 0
3875 : 7750 -> 7750, collisions 0

3365 : 6730 -> 6730, collisions 0
3365 : 6730 -> 6730, collisions 0
3365 : 6730 -> 6730, collisions 0

9226 : 18452 -> 18452, collisions 0
9226 : 18452 -> 18452, collisions 0
9226 : 18452 -> 18452, collisions 0

7906 : 15812 -> 15812, collisions 2
7906 : 15812 -> 15812, collisions 0
7906 : 15812 -> 15812, collisions 2

4768 : 9536 -> 9536, collisions 0
4768 : 9536 -> 9536, collisions 0
4768 : 9536 -> 9536, collisions 0

3850 : 7700 -> 7700, collisions 2
3850 : 7700 -> 7700, collisions 2
3850 : 7700 -> 7700, collisions 4

9250 : 18500 -> 18500, collisions 0
9250 : 18500 -> 18500, collisions 0
9250 : 18500 -> 18500, collisions 0

8121 : 16242 -> 16242, collisions 2
8121 : 16242 -> 16242, collisions 2
8121 : 16242 -> 16242, collisions 8

8555 : 17110 -> 17110, collisions 0
8555 : 17110 -> 17110, collisions 0
8555 : 17110 -> 17110, collisions 0

2826 : 5652 -> 5652, collisions 4
2826 : 5652 -> 5652, collisions 4
2826 : 5652 -> 5652, collisions 6

1478 : 2956 -> 2956, collisions 2
1478 : 2956 -> 2956, collisions 0
1478 : 2956 -> 2956, collisions 4

2321 : 4642 -> 4642, collisions 0
2321 : 4642 -> 4642, collisions 2
2321 : 4642 -> 4642, collisions 0

7810 : 15620 -> 15620, collisions 0
7810 : 15620 -> 15620, collisions 0
7810 : 15620 -> 15620, collisions 0

8191 : 16382 -> 16382, collisions 0
8191 : 16382 -> 16382, collisions 0
8191 : 16382 -> 16382, collisions 0

985 : 1970 -> 1970, collisions 0
985 : 1970 -> 1970, collisions 0
985 : 1970 -> 1970, collisions 0

8007 : 16014 -> 16014, collisions 0
8007 : 16014 -> 16014, collisions 0
8007 : 16014 -> 16014, collisions 0

1493 : 2986 -> 2986, collisions 0
1493 : 2986 -> 2986, collisions 0
1493 : 2986 -> 2986, collisions 0

1390 : 2780 -> 2780, collisions 0
1390 : 2780 -> 2780, collisions 0
1390 : 2780 -> 2780, collisions 0

9713 : 19426 -> 19426, collisions 0
9713 : 19426 -> 19426, collisions 0
9713 : 19426 -> 19426, collisions 0

9171 : 18342 -> 18342, collisions 0
9171 : 18342 -> 18342, collisions 0
9171 : 18342 -> 18342, collisions 0

4643 : 9286 -> 9286, collisions 8
4643 : 9286 -> 9286, collisions 6
4643 : 9286 -> 9286, collisions 4

7393 : 14786 -> 14786, collisions 12
7393 : 14786 -> 14786, collisions 0
7393 : 14786 -> 14786, collisions 4

1213 : 2426 -> 2426, collisions 0
1213 : 2426 -> 2426, collisions 0
1213 : 2426 -> 2426, collisions 0

137 : 274 -> 274, collisions 0
137 : 274 -> 274, collisions 0
137 : 274 -> 274, collisions 0

3539 : 7078 -> 7078, collisions 2
3539 : 7078 -> 7078, collisions 2
3539 : 7078 -> 7078, collisions 4

6360 : 12720 -> 12720, collisions 4
6360 : 12720 -> 12720, collisions 10
6360 : 12720 -> 12720, collisions 4

9925 : 19850 -> 19850, collisions 0
9925 : 19850 -> 19850, collisions 2
9925 : 19850 -> 19850, collisions 0

4941 : 9882 -> 9882, collisions 0
4941 : 9882 -> 9882, collisions 0
